Category,Title,Price GHS,Price Raw,Condition,Region,Area,Location,Seller Badge,Description,URL,Source,Scraped Date
Mobile Phones & Tablets,New Samsung Galaxy Tab A8 10.5 (2021) 64 GB Black,1100.0,"GH₵ 1,100",Brand New,Central Region,Agona West Municipal,"Central Region, Agona West Municipal",,Smsung tab a8 with 64gb,https://jiji.com.gh/agona-west-municipal/tablets/new-samsung-galaxy-tab-a8-10-5-2021-64-gb-black-dir99hi184oO5pN9OoK7DbJn.html,Jiji Ghana (jiji.com.gh),2026-05-11
Mobile Phones & Tablets,Tecno Spark 4 Air 32 GB Blue,450.0,GH₵ 450,Used,Greater Accra,Teshie,"Greater Accra, Teshie",5+ years on Jiji,Cool spark 4 air 32 gb for sale jxt dm,https://jiji.com.gh/teshie/mobile-phones/tecno-spark-4-air-32-gb-blue-BlFHntSIYzLheYADpwlLJJb5.html,Jiji Ghana (jiji.com.gh),2026-05-11
Mobile Phones & Tablets,Samsung Galaxy S22 Ultra 5G 256 GB Black,3399.0,"GH₵ 3,399",Used,Ashanti,Kumasi Metropolitan,"Ashanti, Kumasi Metropolitan","Verified ID, 3+ years on Jiji",Has A Slight Crack on Down-Left/Lower-left Screen,https://jiji.com.gh/kumasi-metropolitan/mobile-phones/samsung-galaxy-s22-ultra-5g-256-gb-black-oZZad1MZYmhW7xhM6RMcc8hT.html,Jiji Ghana (jiji.com.gh),2026-05-11
Mobile Phones & Tablets,New Huawei MatePad 11.5 256 GB Gray,4700.0,"GH₵ 4,700",Brand New,Greater Accra,Awoshie,"Greater Accra, Awoshie",,New Huawei Mate pad 11.5 256gb new,https://jiji.com.gh/awoshie/tablets/new-huawei-matepad-11-5-256-gb-gray-dyNHKnpZDPluwN8kE3EzuxQp.html,Jiji Ghana (jiji.com.gh),2026-05-11
Mobile Phones & Tablets,7 in 1 Ultra Smart Watch,180.0,GH₵ 180,Brand New,Eastern Region,New-Juaben Municipal,"Eastern Region, New-Juaben Municipal","Verified ID, 5+ years on Jiji","*(7 in 1 ) Smartwatch Ultra*
*GH₵ 180*
*Key Features*
Compatible with both iOS and Android
Phone...",https://jiji.com.gh/new-juaben-municipal/smart-watches/7-in-1-ultra-smart-watch-3lGbTqlJlxpdQLSfQfKIAJGL.html,Jiji Ghana (jiji.com.gh),2026-05-11
Mobile Phones & Tablets,LG V50 Thinq Case,250.0,GH₵ 250,Brand New,Greater Accra,Circle,"Greater Accra, Circle","Verified ID, 5+ years on Jiji","It is a simple, slim jelly phone case made of soft TPU and It enhances the beauty of a smartphone...",https://jiji.com.gh/circle/cell-phones-tablets-accessories/lg-v50-thinq-case-1noGn4bGbc7I9FyeMw9cQqqx.html,Jiji Ghana (jiji.com.gh),2026-05-11
Mobile Phones & Tablets,New Samsung Galaxy S9 Plus 128 GB Black,2200.0,"GH₵ 2,200",Brand New,Greater Accra,Circle,"Greater Accra, Circle",Verified ID,Original Samsung Galaxy S9+ in box,https://jiji.com.gh/circle/mobile-phones/new-samsung-galaxy-s9-plus-128-gb-black-qggmXsW5r6k58vPhqy9Gv9S7.html,Jiji Ghana (jiji.com.gh),2026-05-11
Mobile Phones & Tablets,Samsung Galaxy Tab A 10.1 (2016) 16 GB Black,685.0,GH₵ 685,Used,Greater Accra,Gbawe,"Greater Accra, Gbawe","Verified ID, 5+ years on Jiji",Very neat and working perfectly. Wifi.,https://jiji.com.gh/gbawe/tablets/samsung-galaxy-tab-a-10-1-2016-16-gb-black-rPAKPI8gmdQEkFPLquPJJ8Z0.html,Jiji Ghana (jiji.com.gh),2026-05-11
Mobile Phones & Tablets,Series 9 Apple Watch Premium,350.0,GH₵ 350,Brand New,Greater Accra,Circle,"Greater Accra, Circle","Verified ID, 4.8","Apple series 9premium copy is Equipped with the latest Bluetooth technology, the smartwatch has a...",https://jiji.com.gh/circle/smart-watches/series-9-apple-watch-premium-kBgcT1aR6EDrfLQZ98mDYmkU.html,Jiji Ghana (jiji.com.gh),2026-05-11
Mobile Phones & Tablets,Apple iPhone 11 Pro 256 GB Green,3150.0,"GH₵ 3,150",Used,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",,IPhone 11pro 256gb factory unlocked used super neat and clean everything perfect. Swapp deals...,https://jiji.com.gh/accra-metropolitan/mobile-phones/apple-iphone-11-pro-256-gb-green-oGgLXXqp0G8aaZzM4QYwlTz.html,Jiji Ghana (jiji.com.gh),2026-05-11
Mobile Phones & Tablets,New Tablet 1 TB Black,1100.0,"GH₵ 1,100",Brand New,Greater Accra,Circle,"Greater Accra, Circle","Verified ID, 5+ years on Jiji","FSudz branded 10-inch Android tablet, often sold as a bundle for productivity and entertainment....",https://jiji.com.gh/circle/tablets/new-tablet-1-tb-black-wIKGi29UiZAMSSlrSzdfXxi6.html,Jiji Ghana (jiji.com.gh),2026-05-11
Mobile Phones & Tablets,Motorola Moto G 5G 128 GB Gray,1800.0,"GH₵ 1,800",Used,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",Verified ID,Motorola G 5G 2024 new available,https://jiji.com.gh/accra-metropolitan/mobile-phones/motorola-moto-g-5g-128-gb-gray-d5wgePUWX204FUomxMCf8Sjt.html,Jiji Ghana (jiji.com.gh),2026-05-11
Mobile Phones & Tablets,Apple Watch Ultra 2,5500.0,"GH₵ 5,500",Used,Greater Accra,Circle,"Greater Accra, Circle","Verified ID, 3+ years on Jiji",Apple Watch Ultra 2 extremely neat as seen,https://jiji.com.gh/circle/smart-watches/apple-watch-ultra-2-glrpKnMtbfwm13luJeDf28b5.html,Jiji Ghana (jiji.com.gh),2026-05-11
Mobile Phones & Tablets,Lg Velvet 5g Case (Dualshield Case),250.0,GH₵ 250,Brand New,Greater Accra,Circle,"Greater Accra, Circle","Verified ID, 5+ years on Jiji",Protect your LG Velvet 5G with the DualShield Case. Featuring a durable dual layer design for...,https://jiji.com.gh/circle/cell-phones-tablets-accessories/lg-velvet-5g-case-dualshield-case-uL2rCBV97sF3mfrSwikoxm0Z.html,Jiji Ghana (jiji.com.gh),2026-05-11
